Config,Features,Scaler,Method,PCA_Components,Clusters,Silhouette,DBSCAN_eps,DBSCAN_min_samples,Noise_points,Age_Group,Subset_Size
KMeans_MinMaxScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k6,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,MinMaxScaler,KMeans,,6,0.1981431082615446,,,,,
AgglomerativeClustering_MinMaxScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k6,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,MinMaxScaler,AgglomerativeClustering,,6,0.12806034151966586,,,,,
KMeans_MinMaxScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k7,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,MinMaxScaler,KMeans,,7,0.21433058152200526,,,,,
AgglomerativeClustering_MinMaxScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k7,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,MinMaxScaler,AgglomerativeClustering,,7,0.13829617104283828,,,,,
KMeans_MinMaxScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k8,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,MinMaxScaler,KMeans,,8,0.22966078771540646,,,,,
AgglomerativeClustering_MinMaxScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k8,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,MinMaxScaler,AgglomerativeClustering,,8,0.1458839988894252,,,,,
KMeans_MinMaxScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k9,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,MinMaxScaler,KMeans,,9,0.22152079484318077,,,,,
AgglomerativeClustering_MinMaxScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k9,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,MinMaxScaler,AgglomerativeClustering,,9,0.14286034023855243,,,,,
KMeans_MinMaxScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k10,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,MinMaxScaler,KMeans,,10,0.21855300306142394,,,,,
AgglomerativeClustering_MinMaxScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k10,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,MinMaxScaler,AgglomerativeClustering,,10,0.14013602967698552,,,,,
KMeans_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_PCA2_k2,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,KMeans,2.0,2,0.3417651323378535,,,,,
AgglomerativeClustering_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_PCA2_k2,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,AgglomerativeClustering,2.0,2,0.27710288754193296,,,,,
KMeans_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_PCA2_k3,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,KMeans,2.0,3,0.35774171902167307,,,,,
AgglomerativeClustering_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_PCA2_k3,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,AgglomerativeClustering,2.0,3,0.30139965857187817,,,,,
KMeans_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_PCA2_k4,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,KMeans,2.0,4,0.35555205031239584,,,,,
AgglomerativeClustering_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_PCA2_k4,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,AgglomerativeClustering,2.0,4,0.28537737099357185,,,,,
KMeans_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_PCA2_k5,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,KMeans,2.0,5,0.3405462777641819,,,,,
AgglomerativeClustering_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_PCA2_k5,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,AgglomerativeClustering,2.0,5,0.2824650492023215,,,,,
KMeans_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_PCA2_k6,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,KMeans,2.0,6,0.3434339466401525,,,,,
AgglomerativeClustering_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_PCA2_k6,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,AgglomerativeClustering,2.0,6,0.291615271758173,,,,,
KMeans_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_PCA2_k7,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,KMeans,2.0,7,0.34510665786114303,,,,,
AgglomerativeClustering_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_PCA2_k7,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,AgglomerativeClustering,2.0,7,0.28530699600698367,,,,,
KMeans_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_PCA2_k8,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,KMeans,2.0,8,0.33444792867467965,,,,,
AgglomerativeClustering_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_PCA2_k8,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,AgglomerativeClustering,2.0,8,0.28022798592088866,,,,,
KMeans_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_PCA2_k9,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,KMeans,2.0,9,0.3388108194451955,,,,,
AgglomerativeClustering_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_PCA2_k9,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,AgglomerativeClustering,2.0,9,0.2717367462881699,,,,,
KMeans_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_PCA2_k10,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,KMeans,2.0,10,0.33136059263920287,,,,,
AgglomerativeClustering_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_PCA2_k10,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,AgglomerativeClustering,2.0,10,0.26520115721447396,,,,,
KMeans_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k2,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,KMeans,,2,0.1927846229877557,,,,,
AgglomerativeClustering_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k2,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,AgglomerativeClustering,,2,0.1564295592031148,,,,,
KMeans_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k3,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,KMeans,,3,0.17869800396014357,,,,,
AgglomerativeClustering_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k3,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,AgglomerativeClustering,,3,0.13241849690091986,,,,,
KMeans_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k4,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,KMeans,,4,0.19438788023487252,,,,,
AgglomerativeClustering_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k4,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,AgglomerativeClustering,,4,0.1328582318284965,,,,,
KMeans_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k5,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,KMeans,,5,0.1996695743916465,,,,,
AgglomerativeClustering_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k5,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,AgglomerativeClustering,,5,0.13468065663563236,,,,,
KMeans_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k6,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,KMeans,,6,0.20003022512209306,,,,,
AgglomerativeClustering_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k6,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,AgglomerativeClustering,,6,0.13850651098607164,,,,,
KMeans_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k7,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,KMeans,,7,0.21267101479649259,,,,,
AgglomerativeClustering_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k7,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,AgglomerativeClustering,,7,0.14005802842386922,,,,,
KMeans_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k8,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,KMeans,,8,0.2292395113302367,,,,,
AgglomerativeClustering_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k8,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,AgglomerativeClustering,,8,0.14618298158158122,,,,,
KMeans_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k9,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,KMeans,,9,0.22021238628770834,,,,,
AgglomerativeClustering_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k9,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,AgglomerativeClustering,,9,0.14221884785060504,,,,,
KMeans_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k10,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,KMeans,,10,0.21896066671025943,,,,,
AgglomerativeClustering_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_k10,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,AgglomerativeClustering,,10,0.1361569209199069,,,,,
DBSCAN_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_eps0.3_ms5,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,DBSCAN,,3,-0.02348192353046592,0.3,5.0,17.0,,
DBSCAN_RobustScaler_Age+Purchase Amount (USD)+Review Rating+Previous Purchases_eps0.3_ms10,Age+Purchase Amount (USD)+Review Rating+Previous Purchases,RobustScaler,DBSCAN,,8,-0.2970048232417138,0.3,10.0,349.0,,
KMeans_Age18-30_Age+Purchase Amount (USD)_k2,Age+Purchase Amount (USD),StandardScaler,KMeans,,2,0.35747449401313597,,,,18-30,949.0
KMeans_Age18-30_Age+Purchase Amount (USD)_k3,Age+Purchase Amount (USD),StandardScaler,KMeans,,3,0.39243485000594264,,,,18-30,949.0
KMeans_Age18-30_Age+Purchase Amount (USD)_k4,Age+Purchase Amount (USD),StandardScaler,KMeans,,4,0.4099970913644882,,,,18-30,949.0
KMeans_Age18-30_Age+Purchase Amount (USD)_k5,Age+Purchase Amount (USD),StandardScaler,KMeans,,5,0.3828266028399794,,,,18-30,949.0
KMeans_Age18-30_Age+Purchase Amount (USD)_k6,Age+Purchase Amount (USD),StandardScaler,KMeans,,6,0.3800684960147728,,,,18-30,949.0
KMeans_Age18-30_Age+Purchase Amount (USD)_k7,Age+Purchase Amount (USD),StandardScaler,KMeans,,7,0.38575670856427546,,,,18-30,949.0
KMeans_Age18-30_Purchase Amount (USD)+Previous Purchases_k2,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,2,0.3545517115771082,,,,18-30,949.0
KMeans_Age18-30_Purchase Amount (USD)+Previous Purchases_k3,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,3,0.38947634035036294,,,,18-30,949.0
KMeans_Age18-30_Purchase Amount (USD)+Previous Purchases_k4,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,4,0.4115326969746526,,,,18-30,949.0
KMeans_Age18-30_Purchase Amount (USD)+Previous Purchases_k5,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,5,0.3921344463866116,,,,18-30,949.0
KMeans_Age18-30_Purchase Amount (USD)+Previous Purchases_k6,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,6,0.3677991657173963,,,,18-30,949.0
KMeans_Age18-30_Purchase Amount (USD)+Previous Purchases_k7,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,7,0.3668371228143041,,,,18-30,949.0
KMeans_Age18-30_Age+Review Rating_k2,Age+Review Rating,StandardScaler,KMeans,,2,0.36380609744617126,,,,18-30,949.0
KMeans_Age18-30_Age+Review Rating_k3,Age+Review Rating,StandardScaler,KMeans,,3,0.3883644529067923,,,,18-30,949.0
KMeans_Age18-30_Age+Review Rating_k4,Age+Review Rating,StandardScaler,KMeans,,4,0.4236274664990335,,,,18-30,949.0
KMeans_Age18-30_Age+Review Rating_k5,Age+Review Rating,StandardScaler,KMeans,,5,0.4015944400524943,,,,18-30,949.0
KMeans_Age18-30_Age+Review Rating_k6,Age+Review Rating,StandardScaler,KMeans,,6,0.3799760365023145,,,,18-30,949.0
KMeans_Age18-30_Age+Review Rating_k7,Age+Review Rating,StandardScaler,KMeans,,7,0.3724930502567164,,,,18-30,949.0
KMeans_Age31-45_Age+Purchase Amount (USD)_k2,Age+Purchase Amount (USD),StandardScaler,KMeans,,2,0.35577664535679454,,,,31-45,1093.0
KMeans_Age31-45_Age+Purchase Amount (USD)_k3,Age+Purchase Amount (USD),StandardScaler,KMeans,,3,0.3838470830461305,,,,31-45,1093.0
KMeans_Age31-45_Age+Purchase Amount (USD)_k4,Age+Purchase Amount (USD),StandardScaler,KMeans,,4,0.40370327060186906,,,,31-45,1093.0
KMeans_Age31-45_Age+Purchase Amount (USD)_k5,Age+Purchase Amount (USD),StandardScaler,KMeans,,5,0.3750886398949387,,,,31-45,1093.0
KMeans_Age31-45_Age+Purchase Amount (USD)_k6,Age+Purchase Amount (USD),StandardScaler,KMeans,,6,0.38287106330384346,,,,31-45,1093.0
KMeans_Age31-45_Age+Purchase Amount (USD)_k7,Age+Purchase Amount (USD),StandardScaler,KMeans,,7,0.37641089646648285,,,,31-45,1093.0
KMeans_Age31-45_Purchase Amount (USD)+Previous Purchases_k2,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,2,0.3546137437052033,,,,31-45,1093.0
KMeans_Age31-45_Purchase Amount (USD)+Previous Purchases_k3,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,3,0.38947915307905445,,,,31-45,1093.0
KMeans_Age31-45_Purchase Amount (USD)+Previous Purchases_k4,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,4,0.4048398845657536,,,,31-45,1093.0
KMeans_Age31-45_Purchase Amount (USD)+Previous Purchases_k5,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,5,0.3885293853128448,,,,31-45,1093.0
KMeans_Age31-45_Purchase Amount (USD)+Previous Purchases_k6,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,6,0.38068085064903423,,,,31-45,1093.0
KMeans_Age31-45_Purchase Amount (USD)+Previous Purchases_k7,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,7,0.37179135021466286,,,,31-45,1093.0
KMeans_Age31-45_Age+Review Rating_k2,Age+Review Rating,StandardScaler,KMeans,,2,0.3542186781420791,,,,31-45,1093.0
KMeans_Age31-45_Age+Review Rating_k3,Age+Review Rating,StandardScaler,KMeans,,3,0.37903534483798595,,,,31-45,1093.0
KMeans_Age31-45_Age+Review Rating_k4,Age+Review Rating,StandardScaler,KMeans,,4,0.40675538071324857,,,,31-45,1093.0
KMeans_Age31-45_Age+Review Rating_k5,Age+Review Rating,StandardScaler,KMeans,,5,0.37730316505476397,,,,31-45,1093.0
KMeans_Age31-45_Age+Review Rating_k6,Age+Review Rating,StandardScaler,KMeans,,6,0.3779313408730323,,,,31-45,1093.0
KMeans_Age31-45_Age+Review Rating_k7,Age+Review Rating,StandardScaler,KMeans,,7,0.37362644255834787,,,,31-45,1093.0
KMeans_Age46-60_Age+Purchase Amount (USD)_k2,Age+Purchase Amount (USD),StandardScaler,KMeans,,2,0.36359011841817807,,,,46-60,1135.0
KMeans_Age46-60_Age+Purchase Amount (USD)_k3,Age+Purchase Amount (USD),StandardScaler,KMeans,,3,0.4072453988593427,,,,46-60,1135.0
KMeans_Age46-60_Age+Purchase Amount (USD)_k4,Age+Purchase Amount (USD),StandardScaler,KMeans,,4,0.42205364926289124,,,,46-60,1135.0
KMeans_Age46-60_Age+Purchase Amount (USD)_k5,Age+Purchase Amount (USD),StandardScaler,KMeans,,5,0.39339879741634315,,,,46-60,1135.0
KMeans_Age46-60_Age+Purchase Amount (USD)_k6,Age+Purchase Amount (USD),StandardScaler,KMeans,,6,0.38836060666556493,,,,46-60,1135.0
KMeans_Age46-60_Age+Purchase Amount (USD)_k7,Age+Purchase Amount (USD),StandardScaler,KMeans,,7,0.3758398646610104,,,,46-60,1135.0
KMeans_Age46-60_Purchase Amount (USD)+Previous Purchases_k2,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,2,0.36357923373750756,,,,46-60,1135.0
KMeans_Age46-60_Purchase Amount (USD)+Previous Purchases_k3,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,3,0.3907818282069896,,,,46-60,1135.0
KMeans_Age46-60_Purchase Amount (USD)+Previous Purchases_k4,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,4,0.41177911111509574,,,,46-60,1135.0
KMeans_Age46-60_Purchase Amount (USD)+Previous Purchases_k5,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,5,0.39173578784723345,,,,46-60,1135.0
KMeans_Age46-60_Purchase Amount (USD)+Previous Purchases_k6,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,6,0.3658595754404296,,,,46-60,1135.0
KMeans_Age46-60_Purchase Amount (USD)+Previous Purchases_k7,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,7,0.3771581317356452,,,,46-60,1135.0
KMeans_Age46-60_Age+Review Rating_k2,Age+Review Rating,StandardScaler,KMeans,,2,0.3585788627863467,,,,46-60,1135.0
KMeans_Age46-60_Age+Review Rating_k3,Age+Review Rating,StandardScaler,KMeans,,3,0.3869181347089408,,,,46-60,1135.0
KMeans_Age46-60_Age+Review Rating_k4,Age+Review Rating,StandardScaler,KMeans,,4,0.4108970002858535,,,,46-60,1135.0
KMeans_Age46-60_Age+Review Rating_k5,Age+Review Rating,StandardScaler,KMeans,,5,0.38974643640805795,,,,46-60,1135.0
KMeans_Age46-60_Age+Review Rating_k6,Age+Review Rating,StandardScaler,KMeans,,6,0.39419096804800907,,,,46-60,1135.0
KMeans_Age46-60_Age+Review Rating_k7,Age+Review Rating,StandardScaler,KMeans,,7,0.38920969359791613,,,,46-60,1135.0
KMeans_Age61-100_Age+Purchase Amount (USD)_k2,Age+Purchase Amount (USD),StandardScaler,KMeans,,2,0.3643929848846138,,,,61-100,723.0
KMeans_Age61-100_Age+Purchase Amount (USD)_k3,Age+Purchase Amount (USD),StandardScaler,KMeans,,3,0.3891834213151699,,,,61-100,723.0
KMeans_Age61-100_Age+Purchase Amount (USD)_k4,Age+Purchase Amount (USD),StandardScaler,KMeans,,4,0.42433117832883094,,,,61-100,723.0
KMeans_Age61-100_Age+Purchase Amount (USD)_k5,Age+Purchase Amount (USD),StandardScaler,KMeans,,5,0.40267285059301067,,,,61-100,723.0
KMeans_Age61-100_Age+Purchase Amount (USD)_k6,Age+Purchase Amount (USD),StandardScaler,KMeans,,6,0.3863918305020029,,,,61-100,723.0
KMeans_Age61-100_Age+Purchase Amount (USD)_k7,Age+Purchase Amount (USD),StandardScaler,KMeans,,7,0.37416662737374945,,,,61-100,723.0
KMeans_Age61-100_Purchase Amount (USD)+Previous Purchases_k2,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,2,0.3611738008258815,,,,61-100,723.0
KMeans_Age61-100_Purchase Amount (USD)+Previous Purchases_k3,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,3,0.3865743461374625,,,,61-100,723.0
KMeans_Age61-100_Purchase Amount (USD)+Previous Purchases_k4,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,4,0.4196415807072285,,,,61-100,723.0
KMeans_Age61-100_Purchase Amount (USD)+Previous Purchases_k5,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,5,0.39691858306649885,,,,61-100,723.0
KMeans_Age61-100_Purchase Amount (USD)+Previous Purchases_k6,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,6,0.3845804320805983,,,,61-100,723.0
KMeans_Age61-100_Purchase Amount (USD)+Previous Purchases_k7,Purchase Amount (USD)+Previous Purchases,StandardScaler,KMeans,,7,0.3744723321228926,,,,61-100,723.0
KMeans_Age61-100_Age+Review Rating_k2,Age+Review Rating,StandardScaler,KMeans,,2,0.36402553234425805,,,,61-100,723.0
KMeans_Age61-100_Age+Review Rating_k3,Age+Review Rating,StandardScaler,KMeans,,3,0.3986425140652657,,,,61-100,723.0
KMeans_Age61-100_Age+Review Rating_k4,Age+Review Rating,StandardScaler,KMeans,,4,0.4251017476329079,,,,61-100,723.0
KMeans_Age61-100_Age+Review Rating_k5,Age+Review Rating,StandardScaler,KMeans,,5,0.4041403853876644,,,,61-100,723.0
KMeans_Age61-100_Age+Review Rating_k6,Age+Review Rating,StandardScaler,KMeans,,6,0.39191914789574434,,,,61-100,723.0
KMeans_Age61-100_Age+Review Rating_k7,Age+Review Rating,StandardScaler,KMeans,,7,0.3800835066189302,,,,61-100,723.0
